<Taxa>	PROTEIN	ARGININE	CYSTEINE	ISOLEUCINE	LEUCINE	LYSINE	METHIONINE	THREONINE	TRYPTOPHAN	VALINE	OIL	OLEIC	LINOLEIC	LINOLENIC	PALMITIC	STEARIC	STACHYOSE	SUCROSE
PI594688	48.3	7.67	1.5	4.31	7.55	6.21	1.3	3.47	1.28	5.02	18.4	28.2	52.1	5.2	8.7	4.7	2.8	4
PI594690B	45.8	7.66	1.5	4.52	7.9	6.42	1.4	3.47	1.3	5.16	19.7	25.4	53.9	5.9	10.8	4.1	1.9	0.5
PI594691	46.2	7.78	1.46	4.52	7.87	6.54	1.4	3.57	1.24	5.02	19.4	27.5	55.2	5.8	11.3	4.3	3.6	5.5
PI594694	46.1	7.63	1.45	4.42	7.75	6.39	1.4	3.47	1.27	5.23	18.8	25.6	54.2	5.9	8.5	4.4	1.9	0.5
PI594703	51	8.16	1.32	4.72	7.87	6.48	1.4	3.17	1.18	5.02	17.4	27.8	54.1	6.2	8.2	4.1	3.3	4
PI594706	48.1	7.94	1.34	4.71	7.57	6.45	1.4	3.34	1.21	4.87	18.7	27.5	56.4	6.5	8	4.8	4.5	5.9
PI594709	46	8.14	1.31	5.42	8.02	5.97	1.4	3.72	1.34	4.93	19.3	27.7	58.6	5	7.8	3.8	2.1	2.3
PI594710	42.3	7.81	1.37	5.43	8.47	7.02	1.5	3.85	1.22	4.74	19	23.4	57.1	5.4	10.3	4.1	3.7	6.5
PI594712	42.4	7.97	1.32	5.4	8.12	6.75	1.5	3.56	1.14	4.71	17.2	24.8	58.2	5.9	9	3.9	3.1	5.9
PI594713	45.6	7.24	1.41	5.13	8	6.2	1.2	3.33	1.29	4.68	16.1	22.3	57.1	6.1	11.9	4	4.1	6.3
PI594717A	46.6	8.11	1.45	4.58	7.91	6.54	1.4	3.54	1.28	5.13	19.1	26.4	53.3	6.8	11.2	4.5	4.4	5.5
PI594717B	46	8.01	1.46	4.71	7.83	6.69	1.4	3.61	1.27	5.16	17.9	25.1	54.3	5.9	9.1	4.5	4.3	6.2
