<Taxa>	PROTEIN	ARGININE	CYSTEINE	ISOLEUCINE	LEUCINE	LYSINE	METHIONINE	THREONINE	TRYPTOPHAN	VALINE	OIL	OLEIC	LINOLEIC	LINOLENIC	PALMITIC	STEARIC	STACHYOSE	SUCROSE
FC2109	44.8	7.62	1.44	4.69	7.61	6.54	1.3	3.68	1.23	5.14	18.6	20	54.4	8.4	7.2	4.5	2.2	1.4
FC3981	44.9	7.4	1.4	4.3	7.5	6.4	1.3	3.5	1.1	5	18.2	27.1	51.2	8.7	11.3	3.8	3.2	5.7
FC29219	43.9	7.6	1.6	4.7	7.8	6.5	1.4	3.7	1.4	5.1	21.7	26.4	52.8	5.7	9.2	4.4	2.1	2.5
FC30267	45.2	7.9	1.6	5.3	8.3	6.6	1.5	3.4	1.3	4.7	20	20.4	55.2	9.4	11.7	4.6	2.5	3.5
FC30282	43.3	7.5	1.5	4.6	7.9	6.6	1.4	3.6	1.2	5	19.6	23.5	52.1	8.7	12.1	4.5	2.8	4.4
FC30684	50	7.9	1.8	4.6	7.7	6.3	1.5	3.2	1.3	5	18.6	26.7	52.6	7.3	10.4	4.2	1.5	NA
FC30685	45.9	7.8	1.5	5.3	8.1	6.5	1.5	3.7	1.4	5.2	23.8	28.3	51.8	4.1	7.3	4.2	1.3	1.9
FC30692	47.7	7.9	1.3	5.1	7.6	6.5	1.4	3.6	1.2	5	18.5	24.9	54.3	7.4	12.4	4	2.3	0.6
FC30694	43	7.4	1.5	4.6	8	6.5	1.5	3.7	1.3	5.1	21	26.4	52.3	9.1	11.1	4	3.1	3.9
FC30967	44.8	7.5	1.5	4.7	8	6.6	1.4	3.5	1.2	4.9	19.4	21.5	56.7	10.5	11.9	3.6	3	3.3
FC31416	43.1	7.6	1.5	4.6	7.7	6.6	1.3	3.6	1.1	5.1	18.1	22.7	53.1	8.3	11.3	4.7	2.5	4.5
FC31572	45.2	7.6	1.6	4.6	7.8	6.5	1.4	3.5	1.4	5	19.5	20.6	55.4	10.7	11.6	4.1	2.8	2.2
FC31579	42.8	7.48	1.48	4.6	7.84	6.59	1.4	3.67	1.16	5.15	20.2	24.4	54.4	6.1	9.7	4.6	2.2	3.7
FC31622	45.8	7.5	1.5	4.6	7.7	6.5	1.4	3.4	1.3	4.9	19.6	23.6	52.5	7.8	11.8	4.8	2.6	3.8
FC31649	45.3	7.5	1.5	4.5	7.7	6.4	1.4	3.5	1.3	4.9	19.9	24.7	52.5	7.6	12.2	4.6	2.4	3.2
FC31676	45.9	7.5	1.5	4.5	7.7	6.5	1.4	3.5	1.3	4.8	20.3	23.5	53.1	7.9	12.1	4.3	2.5	3.1
FC31677	41.6	8	1.3	5.6	8	6.8	1.6	3.8	1.2	5	19.8	25.8	51.9	8.4	11.5	4.2	3	5.5
FC31683	45.3	7.9	1.7	4.7	8.3	6.5	1.4	3.5	1.4	5.4	21.2	26.9	49.9	8.8	11.3	4.7	2.4	0.7
FC31684	41.9	7.95	1.61	4.99	8.08	6.86	1.4	3.78	1.36	5.13	20.6	22.8	54.4	7.8	7.7	4	1.9	3
FC31689	42.6	7.6	1.5	4.9	8.1	6.7	1.4	3.6	1.3	5.1	20.1	22.8	52.4	10.7	11.7	4.5	3	4.6
FC31707	41.3	7.4	1.5	4.9	8.2	6.5	1.5	3.7	1.3	5.2	21.9	21.8	53.5	9.8	11	4.4	3	4.6
FC31719	47.4	7.7	1.2	5.1	7.9	6	1.2	3.4	1.3	4.9	17.9	24	52.5	9.1	12.3	4.1	2.9	3.6
FC31732	41.8	7.9	1.2	5.6	7.9	6.7	1.5	3.8	1.2	5	20	23.3	52.9	8.3	11.1	4.2	2.8	4.2
FC31744	46	7.4	1.4	4.4	7.9	6.4	1.5	3.4	1.2	4.9	19.6	24.2	52.4	8	11.9	4.8	2.8	3.7
FC31745	41.7	7.5	1.6	5.6	8.5	6.7	1.5	3.7	1.4	4.8	20.9	23.1	52.8	10.5	11.3	4	3.6	4.5
FC31750	43.5	8	1.6	4.9	8.2	6.8	1.4	3.7	1.3	5	20.4	23.7	53.3	8	11.2	3.7	2.1	3.8
FC31918	47	8.7	1.6	5.1	6.6	6.1	1.4	3.3	1.2	5.2	20.4	29.6	50	8.2	11.2	3.8	2.3	0.9
FC31921	45.3	7.4	1.5	4.5	7.7	6.4	1.4	3.4	1.2	4.9	19.1	24.6	50.5	8.4	11.5	4.1	2.3	3.5
FC31934	48.6	7.6	1.2	4.9	7.4	5.5	1.2	3.3	1.2	4.5	17	22.6	52.5	8.9	11.9	3.7	3.4	1.9
FC31952	44.3	8	1.7	4.9	8.4	6.5	1.5	3.7	1.5	5.5	20.6	26	51.4	8.8	10.9	3.9	2.9	0.9
FC32033	43.5	8	1.5	5.4	8	6.8	1.4	3.7	1.3	5	19.8	24.3	52	9.2	11.5	4.4	3.9	5.3
FC32141	43.9	7.5	1.5	4.6	8	6.5	1.4	3.7	1.4	5	20.3	24.7	53.9	10	11.5	4	2.9	4.1
FC32176	43.6	7.6	1.5	5.1	7.8	6.7	1.5	3.5	1.3	5	21.3	26.7	50	7.9	11.3	4.4	2.9	2.4
FC33123	41.8	7.3	1.5	4.7	8	6.5	1.4	3.6	1.2	5	20.5	23.1	51.7	9.3	10.8	4.7	2.9	5.6
PI30594	45.6	9.6	1.9	5.7	8.4	6.3	2.3	3.4	1.3	5.1	20.6	23.8	57.2	6.4	8	3.7	2	1.7
PI36653	44.8	7.8	1.6	4.9	7.8	6.7	1.4	3.7	1.3	5.1	19.1	21.3	54.9	9.4	9	4.2	2.7	2.4
PI36906	46.1	7.7	1.4	4.5	7.8	6.4	1.3	3.7	1.3	5.1	19.4	25	54.2	6.1	8.5	3.9	2.6	2.4
PI54607	41.1	7.5	1.5	5	8.3	6.8	1.5	3.8	1.3	5.2	21.6	27	51.4	9	11.3	4.2	3.1	4.3
PI54610	46.5	7.7	1.6	4.4	7.7	6.3	1.5	3.4	1.4	5.1	20.2	28.7	49.8	8.6	12	4.6	2.8	4.8
PI54619	43.6	7.4	1.4	4.5	7.5	6.4	1.3	3.6	1.2	5	20.6	29.2	55.1	4.1	8.8	4.3	1.9	1.9
PI54818	41.9	7.4	1.6	4.7	7.9	6.5	1.4	3.8	1.3	5.1	22.7	26.1	52.1	5.8	9.4	4.9	2.4	2.3
PI54834	45.6	8.2	1.4	5.3	8	6.6	1.6	3.4	1.3	5	18.1	24.6	54.9	6.5	11.2	4.8	2.8	2
PI54854	47.1	7.7	1.3	4.9	7.4	6.2	1.3	3.5	1.2	4.9	19	28.1	51.2	7.7	11.9	3.8	2.4	3.2
PI55089	44.9	7.5	1.6	4.5	7.7	6.5	1.4	3.6	1.4	5.2	21.1	24.2	52.9	9.1	11.2	4.4	2.9	1.6
PI56563	46	7.6	1.6	4.5	7.6	6.3	1.4	3.6	1.3	4.9	19.1	23.4	52.9	10.7	10.9	4.2	2.7	3.4
PI59845	43.2	7.7	1.4	4.7	8.3	6.7	1.4	3.7	1.3	5.1	19.1	23.6	54.3	9.5	11	4.2	3.4	5.4
PI60273	43	8.2	1.5	5.7	8	6.7	1.5	3.6	1.5	5	22.2	25.7	53.7	8.9	11.1	4.1	3.1	2.5
PI60296	48	7.5	1.5	4.3	7.4	6.2	1.4	3.4	1.3	5.1	20.3	28.1	50.9	7.8	11.3	4.2	2.8	1.3
PI61944	41.7	7.7	1.5	4.8	7.8	6.8	1.4	3.7	1.3	4.9	20.8	21.8	53.7	11.1	10.7	3.6	2.3	3
PI61947	44.1	7.5	1.5	4.6	7.9	6.6	1.4	3.6	1.2	4.9	18.6	22	53.4	10.5	11.2	4.4	3.1	4.8
PI62199	42.6	7.9	1.5	4.8	7.8	6.5	1.4	3.8	1.3	4.9	20.1	24.2	52.7	9.9	10.2	4.5	2.3	3.6
PI62203	44.6	7.5	1.5	4.5	7.4	6.3	1.4	3.5	1.3	5	20.2	28.5	49.1	8.5	11.8	4.2	2.5	2.8
PI62204	45.5	7.6	1.5	4.4	7.5	6.4	1.4	3.5	1.2	5.1	18.7	26.2	52.4	8.7	11.6	4	3	3.8
PI63468	43	7.4	1.5	4.6	7.8	6.4	1.4	3.7	1.2	4.9	20.5	25.9	51.6	8.5	10.9	5.1	2.3	3.4
PI65341	41.4	7.6	1.6	4.7	7.9	6.6	1.5	3.8	1.4	5.1	22	26.5	53.1	5.3	8.7	4.2	2	2.6
PI65342	44.7	7.4	1.4	4.4	7.6	6.4	1.3	3.5	1.3	5.1	20	23	51.9	9.6	11.3	3.9	2.5	2.4
PI65346	42.8	7.2	1.6	4.6	7.6	6.3	1.4	3.6	1.5	4.8	23.6	27.8	53.2	4.7	9.1	4	1.5	3.2
PI65354	44	9.8	1.3	5.9	8.7	5.9	2.1	3.5	1.5	5.8	20.9	25	54	5.7	11	3.6	2.6	2.9
PI68443	41.9	7.57	1.69	4.82	8.05	6.57	1.5	3.86	1.43	5.18	21.2	24.7	53.9	5.7	10.7	4.1	5.4	3.5
PI68446	43.1	7.8	1.6	5.1	8.2	6.7	1.4	4	1.4	5	22.6	23.9	53.5	7.6	9.4	3.8	2.7	2
PI68455	44.6	7.9	1.6	4.6	7.9	6.6	1.4	3.8	1.3	4.9	20	23.7	53.4	8	9.8	4.1	2.5	3.2
PI68470	45.4	7.67	1.41	4.65	8.05	6.64	1.4	3.54	1.18	5.26	18.2	23.9	54	6.1	9.7	4.3	3	3.7
PI68475	44	7.3	1.5	4.5	7.6	6.5	1.4	3.5	1.2	4.9	21.2	25.9	49.3	7.7	11.7	4.1	3.1	2.8
PI68479	41.8	7.35	1.51	4.67	7.58	6.47	1.4	3.72	1.21	4.97	20.6	23	54.5	5.9	8.4	4.6	1.9	3.7
PI68480	41	7.3	1.6	4.9	8	6.6	1.4	3.8	1.5	5	23.2	25	50.4	6.6	9.9	4.1	2.4	3.2
PI68523	43.6	7.61	1.54	4.69	7.58	6.59	1.4	3.66	1.2	5.03	19.2	22.1	54.5	7.8	6.8	4.2	2	2.5
PI68554	46	7.8	1.4	5.1	7.9	6.8	1.4	3.6	1.3	5.2	19.4	21.9	54	8.7	7.5	3.7	2.5	2
PI68586	43.6	7.9	1.5	5.1	8	6.8	1.4	3.8	1.3	5.2	20	22.4	53.3	8.6	7.4	3.7	2.7	3.2
PI68587	43.3	7.3	1.5	4.6	7.4	6.3	1.4	3.6	1.4	4.7	22.9	28.1	50.3	4.5	10.1	4.2	2	4
PI68598	40.6	7.3	1.6	4.8	7.8	6.5	1.4	3.8	1.5	4.9	23.3	24.5	50.2	5.9	10.4	4	2.3	3.9
PI68599	43.3	7.7	1.6	4.8	8	6.5	1.5	3.8	1.4	5.2	21.9	27.4	50	7.6	11.2	4.5	2.9	2.2
PI68610	46.1	7.6	1.6	4.7	7.8	6.7	1.4	3.5	1.3	5	18.3	21	54.8	8.6	7.6	4.2	2.5	2.7
PI68627	41.9	7.4	1.6	4.7	7.9	6.5	1.4	3.8	1.5	4.8	22.6	24.8	51.9	6.2	9.3	4.1	2.5	3.3
PI68666	41.6	7.3	1.5	4.8	8.1	6.5	1.4	3.8	1.4	5.2	22.4	26.8	50	7.7	11.3	4.7	2.8	2.7
PI68687	44.1	7.7	1.5	5	7.8	6.6	1.4	3.5	1.4	5.2	20.6	28.7	47.6	8.3	11.4	4.6	2.7	2.8
PI68692	41.4	7.5	1.5	4.78	7.9	6.53	1.4	3.82	1.19	5.25	19.7	21.7	54.3	8.1	9.7	4.1	3	6.1
PI68701	41.9	7.37	1.51	4.64	7.66	6.57	1.4	3.72	1.13	5.02	19.9	23.7	56.7	6.6	9.3	3.7	2.3	4.7
PI68710	45.9	7.59	1.4	4.59	7.73	6.52	1.4	3.54	1.15	5.11	18.2	22.3	54.7	7.2	9.3	4.8	2.7	3.3
PI68722	44.6	7.7	1.5	4.8	7.6	6.6	1.4	3.7	1.3	5.1	19.4	23.8	54.2	7.1	9.2	4.6	2.3	2.6
PI68741	40.7	7.3	1.5	4.8	8.2	6.5	1.5	3.8	1.3	5	21.1	23.1	54.8	10.6	11	3.9	3.1	5.4
PI68746	43.4	7.5	1.6	4.7	7.9	6.6	1.5	3.6	1.4	5.1	21.2	23.8	51.9	9.8	11.4	4.6	3.2	3.1
PI70009	40.5	7.6	1.6	4.9	8.3	6.5	1.5	3.9	1.4	5.3	21	28.1	52.9	8.7	11	4.2	3.1	4.7
PI70016	42.1	7.5	1.5	4.7	8.2	6.7	1.3	3.7	1.4	5	20.8	26.9	52.4	8.8	11.2	4.1	3.2	4.4
PI70021	41.1	7.3	1.6	4.8	7.8	6.4	1.4	3.8	1.5	4.9	23.1	24.4	51.3	7.1	9	3.8	2.2	3.1
PI70036	41.4	7.3	1.6	4.8	8	6.4	1.5	3.8	1.4	5.2	22.4	27.7	50.4	7.9	11.2	4.5	3	3.2
PI70076	40.8	7.35	1.51	4.82	7.9	6.76	1.4	3.79	1.12	4.99	19.3	20.5	54.3	8.7	10.1	4.9	2.6	4.6
PI70077	41.6	8	1.6	5	8.2	6.7	1.4	4	1.4	5.3	21	24.7	53.1	6.9	7.6	4.1	2.2	3.6
PI70091	41.3	7.4	1.5	4.7	8	6.5	1.5	3.8	1.3	5	21.1	23.6	52.1	9.9	11.5	4.6	3	4.9
PI70228	42.8	7.8	1.6	4.9	8	6.6	1.4	3.9	1.4	5	21.2	22.7	52.8	9	9.4	4.1	2.5	3.1
PI70241	42.8	7.1	1.5	4.5	7.4	6.3	1.3	3.6	1.2	4.9	22	25.2	52	5.9	11.2	4.7	2	2.3
PI70251	41.5	7.9	1.7	5.2	8.4	6.8	1.4	3.9	1.4	5.1	21.5	22.3	53.3	8.3	8.5	3.8	2.3	2.7
PI70462	43.3	7.7	1.58	4.92	7.9	6.72	1.4	3.73	1.31	5.08	20.3	21.7	54.7	7.2	6.5	4.1	1.9	2.4
PI70500	41.2	7.4	1.5	4.8	8.1	6.5	1.4	3.8	1.4	5	21.6	26.5	53.8	8.7	10.5	4.1	3.6	5
PI70503	42	7.4	1.7	4.8	8	6.5	1.5	3.8	1.5	4.9	22	23.8	52.9	7.6	8.8	4.2	2.4	3.4
PI70519	42.6	7.7	1.5	4.9	8.3	6.7	1.4	3.9	1.4	5.1	21.6	23.9	52.9	10.6	11.2	4.3	3.2	4.6
PI70520	40	7.3	1.6	5	8.3	6.7	1.4	3.8	1.2	5.2	21.7	26	52.6	8.7	11.2	4.4	3.2	4.6
PI71465	46.1	8.1	1.7	5.1	8.2	6.6	1.5	3.6	1.4	5.3	20	25.8	53	8.8	11.3	4.3	2.2	0.3
PI71558	46	7.5	1.3	4.8	8.2	6.7	1.4	3.4	1.2	4.9	18.1	22.8	55.1	9.3	11.8	4.1	3	4.9
PI71564	46.2	7.6	1.4	4.8	7.9	6.6	1.4	3.4	1.2	5	18.1	20.6	56	9.8	12.1	4.3	2.7	3.6
PI71570	45.4	7.6	1.5	4.5	7.7	6.4	1.4	3.5	1.2	5	18.2	24.9	51.2	9.1	11.7	4.7	2.6	4.1
PI71667	46.9	7.5	1.4	4.3	7.4	6.4	1.3	3.4	1.1	5	17.3	27.3	50.8	8.7	10.9	4.1	3	4.1
PI71677	45.1	7.6	1.5	4.5	7.5	6.5	1.4	3.5	1.2	5	18.9	28.3	50.6	7.6	10.7	3.6	2.8	4.7
PI79586	43.3	8	1.3	5.1	8.1	5.8	1.3	3.5	1.4	5	19.3	24	58.3	5.2	9.5	3.8	2.9	2.6
PI79593	44.2	7.3	1.3	5	7.8	5.6	1.1	3.2	1.3	4.6	15.4	21.4	56.5	7.3	13.2	4	3.5	3.8
PI79620	43.6	7.6	1.5	4.9	8.1	6.6	1.4	3.8	1.3	5	20.3	23.8	51.8	9.8	11.3	4.7	3.1	5.2
PI79628	47	7.63	1.49	4.57	7.77	6.42	1.4	3.47	1.29	5.06	17.6	21.4	55.1	7.7	7.7	4.4	2.1	2.4
PI79699	46.1	7.4	1.4	4.3	7.4	6.4	1.3	3.4	1.1	5	17.5	25.2	51	6	9.5	4.5	2.6	3.9
PI79703	42.3	7.4	1.6	4.8	8	6.5	1.4	3.8	1.4	4.9	23.1	23.4	52.7	7.6	9.6	3.9	1.9	3
PI79712	42.1	7.6	1.6	5.5	8.2	6.7	1.5	3.7	1.4	4.8	21.7	25.5	52.4	9.2	11.2	4.5	2.9	4.5
PI79726	43.7	7.71	1.34	5.66	7.78	4.5	1.6	3.43	1.43	5.28	19.4	25.6	58.2	7.1	8.9	4	2	3.4
PI79737	44.1	7.7	1.5	4.7	7.9	6.6	1.4	3.7	1.3	5.1	21	24.3	52.4	7.2	10.3	4.4	2.6	2.1
PI79760	44.8	7.71	1.36	4.74	7.8	6.66	1.4	3.57	1.12	5.02	18.6	26.9	54.2	5.1	8.9	4.7	2.5	3.1
PI79825	47.7	7.7	1.5	4.5	7.9	6.4	1.4	3.6	1.3	5.2	19.4	27	52.8	5	7.6	3.6	1.8	2.2
PI79832	48.6	7.5	1.5	4.3	7.8	6.2	1.3	3.4	1.3	4.9	18.9	27.5	50.7	8.6	11.7	4	3	1.1
PI79861	44	7.4	1.4	4.5	7.6	6.5	1.4	3.5	1.1	4.9	19.2	26.5	51.4	7.7	11.1	4.4	2.8	4.7
PI79862	43.1	7.6	1.6	4.7	8.1	6.4	1.4	3.7	1.4	5	19.7	23.3	52.5	10.2	10.7	3.7	3.5	3.4
PI79874	41.4	7.5	1.5	4.7	8.1	6.6	1.4	3.8	1.4	5.1	20.9	26.2	50.8	8.8	11.3	4.7	3.2	5.3
PI79885	41.7	7.6	1.6	4.9	8.2	6.7	1.5	3.8	1.5	5	22	22.7	54.2	8.9	9.4	3.9	2.4	2.6
PI80466	43.6	7.6	1.6	4.9	8.1	6.6	1.5	3.6	1.4	5.3	21.2	24.5	51.8	9.5	11.2	4.2	2.9	1.5
PI80494	44	7.4	1.5	4.8	7.8	6.6	1.4	3.5	1.3	5	20.1	26.9	48.6	8.6	11.6	4.3	2.9	3.3
PI80498	47.5	8	1.5	4.7	7.6	6.4	1.4	3.3	1.3	5.1	20.3	28.9	50	8.5	11.1	4.1	2.4	0.7
PI80837	46.6	7.4	1.4	4.3	7.7	6.3	1.4	3.4	1.2	4.9	18.2	25.5	51.9	9.6	10.7	4	2.8	4.3
PI81029	43.8	8	1.5	5	7.7	6.7	1.4	3.7	1.2	5.2	17.5	27.8	54.1	5.8	7.7	4.2	2.9	2.4
PI81029N	42.2	7.5	1.7	4.8	8	6.6	1.5	3.8	1.4	4.9	21.8	23.6	51.6	7.7	9.4	4	2.3	3.1
PI81042	46.8	7.5	1.5	4.3	7.5	6.3	1.3	3.4	1.3	5	19.1	25.7	50.6	8.9	11.6	4.1	3.1	3.2
PI81763	44.8	7.3	1.3	4.9	8.2	5.6	1.2	3.2	1.4	4.8	12.2	20.9	58	5.7	12.1	3.5	3.6	4.9
PI81764	43.2	7.14	1.34	5.25	8.5	5.93	1.2	3.32	1.34	4.78	15.7	19.3	56	7	9.4	3.9	4.3	8.2
PI81768	43.6	7.9	1.4	5.5	8.2	6.8	1.5	3.7	1.3	4.9	16.7	21	57.5	5.9	12.6	3.6	3.7	4.9
PI81770	42	8	1.5	5.4	8.2	6.9	1.6	3.8	1.2	5	16.1	18.1	58.3	6.3	11.3	3.5	3.3	4.5
PI81771	42.1	7.6	1.5	5.5	8.5	6.7	1.6	3.5	1.2	5	14.4	18.6	57.9	5.4	12.1	3.5	2.8	4.6
PI81773	43.3	7.5	1.5	5.4	8.2	6.5	1.5	3.5	1.2	4.9	13.7	18.6	58.2	5.5	12	3.5	3	4.6
PI81774	44.4	7.4	1.5	4.8	7.7	6.4	1.7	3.4	1.1	4.7	19.7	24	52.8	9.2	11	3.3	3.3	3.1
PI81780S	45	7.5	1.6	4.6	7.8	6.4	1.5	3.6	1.4	5.3	21.4	24.7	53.2	8.9	11.1	4	2.8	0.7
PI82183	43.9	7.5	1.6	4.6	7.6	6.3	1.4	3.8	1.3	5	21.5	25.8	52.8	8	9.2	4.2	2.1	2.5
PI82184S	45	7.3	1.5	4.4	7.6	6.4	1.4	3.5	1.3	5	20.2	21.5	53.8	9.4	10.6	3.4	2.9	2.8
PI82210	45.7	7.61	1.34	4.81	7.78	6.58	1.4	3.49	1.11	4.61	18.2	26.5	56.2	7.6	10.2	4.3	3.7	5.6
PI82259	45.3	7.78	1.48	5.08	7.9	6.56	1.5	3.42	1.22	4.78	19.3	26.6	53.6	5.3	7.1	3.8	2.6	3.2
PI82286	49	7.7	1.4	4.4	7.3	6.2	1.3	3.2	1.3	5	19.3	24.2	52.2	8.8	12.2	4	2.8	2
PI82295	47.6	7.46	1.47	4.37	7.51	6.11	1.3	3.46	1.36	5.11	17.5	24.7	54	8.4	8	3.9	3.5	4.8
PI82527	42.9	7.9	1.6	4.7	7.9	6.5	1.4	3.8	1.3	5	19.6	24.2	53.2	11	10.6	3.9	2.3	5.3
PI82532	46.6	7.6	1.3	5.2	8	5.8	1.2	3.3	1.3	4.7	15	19.8	57.5	6.5	13.2	3.5	3.5	3.3
PI82588	43.3	7.6	1.5	4.7	7.7	6.8	1.4	3.6	1.3	5	21.6	25.1	51.3	8.9	11.3	4.1	2.8	1.6
PI83836	46.9	7.6	1.6	4.5	7.5	6.3	1.4	3.4	1.4	5.2	21	28.2	50.2	8.6	11.2	4.3	2.3	NA
PI83874	45.2	7.3	1.6	4.4	7.6	6.3	1.4	3.5	1.2	5	20.2	21.8	54.7	10.3	10.9	3.5	3.2	2.2
PI83889	47.9	7.61	1.49	4.42	7.74	6.18	1.4	3.39	1.36	5.24	18.5	28.5	51.7	8.4	9.3	4.3	3.2	5.2
PI83942	46.7	7.7	1.5	4.6	7.8	6.5	1.4	3.5	1.3	5.2	20.5	26.7	48.9	8.7	11.7	4.3	3	1.2
PI84509	41.6	7.7	1.6	4.9	8	6.7	1.4	3.8	1.4	5	21.4	26	50.8	8.4	11.5	4	2.5	4.2
PI84578	40.8	8.8	1.4	6.3	8.7	5.3	2	3.8	1.6	5.8	21.5	25.5	51.1	8.9	11.4	4.3	3.6	5.6
PI84579	43.6	7.72	1.34	5.73	7.94	4	1.8	3.34	1.35	4.88	18.5	25.7	55.5	6.2	11.3	4.8	2.7	3
PI84610	42.8	8	1.3	3.5	8.1	5.3	1.5	3.2	1.5	4.6	17.5	24.7	53.2	7.5	12.3	4.4	4.1	6.2
PI84619	42	7.18	1.49	4.79	7.57	6.59	1.6	3.57	1.14	4.73	21	26.2	56.8	5.2	8.6	4.4	2	2
PI84631	43.4	7.6	1.4	5.5	8.1	6.8	1.3	3.6	1.4	4.9	19.6	24.7	51.8	10	11.8	4.3	5.4	5.5
PI84632S	46.6	7.51	1.38	4.44	7.44	6.46	1.5	3.33	1.13	4.92	19.8	26.5	55.6	5	8.2	4.8	1.7	0.5
PI84644	42.6	7.3	1.6	4.7	8	6.5	1.4	3.7	1.4	4.8	21.7	26.1	52	9.2	11.2	4.4	2.9	5
PI84669	49.2	7.4	1.5	4.2	7.3	6.1	1.4	3.3	1.3	4.9	17.9	25.5	54.5	8.7	11.7	4	3.2	2.9
PI84680	43.3	7.6	1.53	4.63	7.75	6.39	1.4	3.69	1.24	5.22	20.6	24.8	55.5	6.7	7.9	4.5	2.3	1.7
PI84683A	43.6	7.5	1.5	4.6	8	6.5	1.5	3.7	1.3	5.1	22.1	28.7	51.5	8.4	11.2	4.5	2.8	2.6
PI84734	46.5	7.8	1.4	4.7	7.8	6.6	1.4	3.5	1.3	5.1	19.1	26.9	54	8.6	11.2	4.2	2.8	1.6
PI84757	47.3	7.5	1.4	4.4	7.6	6.3	1.4	3.3	1.2	5.1	18.1	26.9	51	9.2	11.9	4.3	2.8	2.7
PI84874	41.2	7.5	1.6	5.7	8.3	6.8	1.5	3.7	1.5	5	22.9	26.1	51.9	9.4	11.3	4.5	2.6	4.2
PI84910	47.1	7.5	1.6	4.4	7.8	6.3	1.4	3.5	1.4	5.2	21.6	26.5	51.8	8.7	11.3	4	2.2	NA
PI84921	40.9	7.6	1.6	4.9	8.4	6.7	1.5	3.9	1.5	5.2	22.1	26.9	52.3	8.7	11.1	4.3	3.1	3.5
PI84928	45.2	7.6	1.5	4.5	7.7	6.4	1.4	3.6	1.3	5.1	20.6	26.8	49	8.6	12.1	4.4	2.9	2.8
PI84949	43.8	7.6	1.6	4.8	8.2	6.5	1.5	3.7	1.4	5.3	21.1	23.4	52.4	10.2	11.2	4.1	2.9	2.1
PI84954	44.2	7.7	1.6	4.7	7.9	6.4	1.4	3.6	1.3	5.3	20.4	27.3	51.8	8.8	11.3	4.2	2.9	3.3
PI84957	43.8	7.6	1.6	4.7	7.7	6.3	1.4	3.8	1.3	5.1	20.9	27.2	50.9	7.1	11.5	4.8	2.9	3.8
PI84959	47.1	7.76	1.46	4.5	7.95	6.39	1.4	3.56	1.28	5.23	17.2	23.4	54.6	8.7	9.7	3.8	3.7	5.8
PI84960	44.4	7.8	1.5	4.7	7.8	6.5	1.4	3.6	1.3	5	20.2	25.2	50.8	9.5	11.6	3.9	2.5	3.3
PI84964	43.4	7.6	1.6	4.7	7.9	6.4	1.4	3.6	1.4	5.3	21.6	28.1	48.6	8.7	11.2	4.2	2.9	2.3
PI84967	44.6	7.8	1.4	5.2	8.1	6.8	1.5	3.6	1.3	5.2	19	23.2	54.8	9	12	4.1	2.9	3.5
PI84970	43.9	8.1	1.3	5.3	8.2	6	1.2	3.6	1.5	5	17.7	25.7	50.3	8.8	11.3	4	3.6	6
PI85014	44.2	7.6	1.4	4.7	7.8	6.7	1.4	3.6	1.1	5	17.3	24.9	53	7.1	9.5	4.8	2.3	4.1
PI85021	44.7	7.8	1.6	4.6	7.8	6.5	1.4	3.8	1.4	4.9	20.6	27	51.1	6	8.8	3.8	2.2	3.2
PI85089	48.5	8.1	1.6	4.6	8.2	6.3	1.4	3.3	1.4	5.3	21.1	29.6	51.2	8.6	11.4	4.1	2.5	NA
PI85342	48.4	8.1	1.4	4.7	7.4	6.2	1.3	3.2	1.2	5	17.7	23.2	53.7	9	12.5	4.3	2.3	2.4
PI85407	43.4	7.5	1.5	4.9	8	6.7	1.4	3.6	1.2	5	19.2	23.3	54	11	10.7	4.5	2.7	4.6
PI85416	48.1	7.3	1.5	4.4	7.7	6.4	1.5	3.3	1.3	4.8	18.8	23	55.2	9	12	4.1	2.3	1.7
PI85441	48.6	7.8	1.6	4.6	7.7	6.4	1.4	3.4	1.3	5.2	18	27.5	50.4	8.9	11	3.6	2.7	1.5
PI85456	40.7	7.5	1.7	5.1	8.2	6.8	1.5	3.9	1.5	5	22.4	23.2	53.9	10.3	11.4	4.1	2.7	3.1
PI85490	46.3	7.4	1.5	4.3	7.5	6.2	1.3	3.5	1.3	5.1	19.1	23.6	53.1	9.4	11.8	3.9	3.2	2.7
PI85508	42.8	7.5	1.5	4.6	7.7	6.4	1.4	3.8	1.3	5	22	25.9	50.8	4.4	10	3.9	2.1	3
PI85559	43.8	7.6	1.5	4.6	8.1	6.5	1.5	3.7	1.3	5.2	20.3	24.9	51.5	10.1	10.6	4.7	4.2	4.7
PI85666S	45.3	7.5	1.5	4.4	7.4	6.2	1.3	3.6	1.3	5	18	22.6	54.5	9.5	10.7	4	3	4.6
PI86002	44.8	8	1.3	5.3	8.3	5.9	1.3	3.5	1.4	5	15.2	20	57.3	7.2	11.1	3.7	3.8	3.5
PI86006	46.5	7.9	1.4	5.2	7.9	6.5	1.4	3.5	1.2	4.7	16.8	22.6	54.9	6.2	13.3	3.6	3.9	3.9
PI86024	46.8	8.1	1.4	5.4	8.2	6.5	1.3	3.6	1.4	5.3	19.2	25.3	53	8.9	10.6	3.6	4.1	4.9
PI86026	47.6	9.3	1.5	5.5	7.6	6.2	1.5	3.3	1.3	5	19.6	25.6	49.6	9.4	12.2	4.1	2.5	3.4
